Auditing all 48 Boolean classes and the six starting functions
Level 1: 48 distinct classes cover all 2^26 affine cosets; six selected
Level 2 seed 1: 20 orbit extensions, 9 pass capacity (0.42s)
Level 2 seed 2: 111 orbit extensions, 99 pass capacity (0.45s)
Level 2 seed 3: 179 orbit extensions, 175 pass capacity (0.44s)
Level 2 seed 4: 197 orbit extensions, 184 pass capacity (0.44s)
Level 2 seed 5: 2073 orbit extensions, 2047 pass capacity (0.41s)
Level 2 seed 6: 1048 orbit extensions, 1023 pass capacity (0.45s)
Classifying 3537 level-2 maps
Level 2: 1782 CCZ classes
Level 3 parent 214/1782: 2088 candidates, 572 capacity, 0 extendable (0.26s)
Level 3 parent 215/1782: 2056 candidates, 344 capacity, 0 extendable (0.26s)
Level 3 parent 216/1782: 648 candidates, 227 capacity, 0 extendable (0.25s)
Level 3 parent 217/1782: 2506 candidates, 684 capacity, 0 extendable (0.26s)
Level 3 parent 218/1782: 2622 candidates, 652 capacity, 0 extendable (0.25s)
Level 3 parent 219/1782: 755 candidates, 294 capacity, 0 extendable (0.23s)
Level 3 parent 220/1782: 2455 candidates, 445 capacity, 0 extendable (0.23s)
Level 3 parent 221/1782: 2387 candidates, 458 capacity, 0 extendable (0.25s)
Level 3 parent 222/1782: 648 candidates, 133 capacity, 0 extendable (0.23s)
Level 3 parent 223/1782: 2846 candidates, 696 capacity, 0 extendable (0.25s)
Level 3 parent 224/1782: 2750 candidates, 936 capacity, 0 extendable (0.26s)
Level 3 parent 225/1782: 2492 candidates, 562 capacity, 0 extendable (0.26s)
Level 3 parent 226/1782: 2339 candidates, 510 capacity, 0 extendable (0.23s)
Level 3 parent 227/1782: 542 candidates, 166 capacity, 0 extendable (0.22s)
Level 3 parent 228/1782: 2632 candidates, 490 capacity, 0 extendable (0.22s)
Level 3 parent 229/1782: 2387 candidates, 554 capacity, 0 extendable (0.23s)
Level 3 parent 230/1782: 2738 candidates, 676 capacity, 0 extendable (0.21s)
Level 3 parent 231/1782: 624 candidates, 248 capacity, 0 extendable (0.22s)
Level 3 parent 232/1782: 2212 candidates, 1136 capacity, 0 extendable (0.31s)
Level 3 parent 233/1782: 1922 candidates, 420 capacity, 0 extendable (0.23s)
Level 3 parent 234/1782: 2668 candidates, 534 capacity, 0 extendable (0.32s)
Level 3 parent 235/1782: 701 candidates, 120 capacity, 0 extendable (0.20s)
Level 3 parent 236/1782: 2279 candidates, 337 capacity, 0 extendable (0.23s)
Level 3 parent 237/1782: 2012 candidates, 516 capacity, 0 extendable (0.26s)
Level 3 parent 238/1782: 777 candidates, 169 capacity, 0 extendable (0.22s)
Level 3 parent 239/1782: 2813 candidates, 530 capacity, 0 extendable (0.22s)
Level 3 parent 240/1782: 2500 candidates, 484 capacity, 0 extendable (0.25s)
Level 3 parent 241/1782: 1954 candidates, 258 capacity, 0 extendable (0.22s)
Level 3 parent 242/1782: 651 candidates, 116 capacity, 0 extendable (0.21s)
Level 3 parent 243/1782: 2060 candidates, 768 capacity, 0 extendable (0.25s)
Level 3 parent 244/1782: 2187 candidates, 214 capacity, 0 extendable (0.22s)
Level 3 parent 245/1782: 2382 candidates, 222 capacity, 0 extendable (0.22s)
Level 3 parent 246/1782: 2608 candidates, 668 capacity, 0 extendable (0.26s)
Level 3 parent 247/1782: 2459 candidates, 464 capacity, 0 extendable (0.23s)
Level 3 parent 248/1782: 2248 candidates, 744 capacity, 0 extendable (0.27s)
Level 3 parent 249/1782: 2232 candidates, 472 capacity, 0 extendable (0.24s)
Level 3 parent 250/1782: 2580 candidates, 844 capacity, 0 extendable (0.33s)
Level 3 parent 251/1782: 1636 candidates, 144 capacity, 0 extendable (0.21s)
Level 3 parent 252/1782: 3340 candidates, 1800 capacity, 0 extendable (0.32s)
Level 3 parent 253/1782: 2532 candidates, 476 capacity, 0 extendable (0.26s)
Level 3 parent 254/1782: 1356 candidates, 144 capacity, 0 extendable (0.21s)
Level 3 parent 255/1782: 3100 candidates, 2140 capacity, 0 extendable (0.39s)
Level 3 parent 256/1782: 2124 candidates, 54 capacity, 0 extendable (0.20s)
Level 3 parent 257/1782: 2649 candidates, 1292 capacity, 0 extendable (0.37s)
Level 3 parent 258/1782: 2198 candidates, 678 capacity, 0 extendable (0.27s)
Level 3 parent 259/1782: 2441 candidates, 920 capacity, 0 extendable (0.36s)
Level 3 parent 260/1782: 2638 candidates, 1310 capacity, 0 extendable (0.33s)
Level 3 parent 261/1782: 2330 candidates, 883 capacity, 0 extendable (0.31s)
Level 3 parent 262/1782: 6401 candidates, 3467 capacity, 0 extendable (0.47s)
Level 3 parent 263/1782: 2554 candidates, 1400 capacity, 0 extendable (0.43s)
Level 3 parent 264/1782: 2602 candidates, 1231 capacity, 0 extendable (0.41s)
Level 3 parent 265/1782: 2460 candidates, 940 capacity, 0 extendable (0.34s)
Level 3 parent 266/1782: 2211 candidates, 545 capacity, 0 extendable (0.28s)
Level 3 parent 267/1782: 2176 candidates, 440 capacity, 0 extendable (0.24s)
Level 3 parent 268/1782: 2680 candidates, 432 capacity, 0 extendable (0.24s)
Level 3 parent 269/1782: 2279 candidates, 1133 capacity, 0 extendable (0.33s)
Level 3 parent 270/1782: 2132 candidates, 802 capacity, 0 extendable (0.34s)
Level 3 parent 271/1782: 2320 candidates, 971 capacity, 0 extendable (0.31s)
Level 3 parent 272/1782: 2346 candidates, 928 capacity, 0 extendable (0.27s)
Level 3 parent 273/1782: 2257 candidates, 524 capacity, 0 extendable (0.32s)
Level 3 parent 274/1782: 2322 candidates, 494 capacity, 0 extendable (0.29s)
Level 3 parent 275/1782: 2282 candidates, 939 capacity, 0 extendable (0.32s)
Level 3 parent 276/1782: 2273 candidates, 960 capacity, 0 extendable (0.36s)
Level 3 parent 277/1782: 6385 candidates, 2594 capacity, 0 extendable (0.52s)
Level 3 parent 278/1782: 2319 candidates, 839 capacity, 0 extendable (0.32s)
Level 3 parent 279/1782: 2169 candidates, 689 capacity, 0 extendable (0.24s)
Level 3 parent 280/1782: 5885 candidates, 2031 capacity, 0 extendable (0.37s)
Level 3 parent 281/1782: 2342 candidates, 468 capacity, 0 extendable (0.27s)
Level 3 parent 282/1782: 6342 candidates, 2365 capacity, 0 extendable (0.55s)
Level 3 parent 283/1782: 2386 candidates, 904 capacity, 0 extendable (0.36s)
Level 3 parent 284/1782: 2362 candidates, 443 capacity, 0 extendable (0.24s)
Level 3 parent 285/1782: 6215 candidates, 2017 capacity, 0 extendable (0.43s)
Level 3 parent 286/1782: 2115 candidates, 866 capacity, 0 extendable (0.36s)
Level 3 parent 287/1782: 2152 candidates, 729 capacity, 0 extendable (0.29s)
Level 3 parent 288/1782: 2523 candidates, 1230 capacity, 0 extendable (0.33s)
Level 3 parent 289/1782: 2352 candidates, 898 capacity, 0 extendable (0.30s)
Level 3 parent 290/1782: 2479 candidates, 938 capacity, 0 extendable (0.25s)
Level 3 parent 291/1782: 2575 candidates, 1079 capacity, 0 extendable (0.33s)
Level 3 parent 292/1782: 2451 candidates, 1195 capacity, 0 extendable (0.41s)
Level 3 parent 293/1782: 2438 candidates, 879 capacity, 0 extendable (0.30s)
Level 3 parent 294/1782: 2208 candidates, 1117 capacity, 0 extendable (0.34s)
Level 3 parent 295/1782: 6371 candidates, 3456 capacity, 0 extendable (0.58s)
Level 3 parent 296/1782: 2274 candidates, 983 capacity, 0 extendable (0.31s)
Level 3 parent 297/1782: 2444 candidates, 896 capacity, 0 extendable (0.35s)
Level 3 parent 298/1782: 2342 candidates, 980 capacity, 0 extendable (0.35s)
Level 3 parent 299/1782: 2319 candidates, 1072 capacity, 0 extendable (0.43s)
Level 3 parent 300/1782: 2130 candidates, 660 capacity, 0 extendable (0.27s)
Level 3 parent 301/1782: 2231 candidates, 674 capacity, 0 extendable (0.29s)
Level 3 parent 302/1782: 2338 candidates, 1288 capacity, 0 extendable (0.37s)
Level 3 parent 303/1782: 2374 candidates, 953 capacity, 0 extendable (0.33s)
Level 3 parent 304/1782: 2398 candidates, 1174 capacity, 0 extendable (0.38s)
Level 3 parent 305/1782: 2103 candidates, 804 capacity, 0 extendable (0.29s)
Level 3 parent 306/1782: 2273 candidates, 586 capacity, 0 extendable (0.30s)
Level 3 parent 307/1782: 2421 candidates, 1022 capacity, 0 extendable (0.29s)
Level 3 parent 308/1782: 2575 candidates, 1273 capacity, 0 extendable (0.34s)
Level 3 parent 309/1782: 2194 candidates, 911 capacity, 0 extendable (0.27s)
Level 3 parent 310/1782: 2413 candidates, 1244 capacity, 0 extendable (0.42s)
Level 3 parent 311/1782: 2285 candidates, 852 capacity, 0 extendable (0.29s)
